County,1 Adult: 19-50 Years,2 Adults: 19-50 Years,1 Adult + 1 Child,2 Adults + 2 Children,1 Adult: 65+,2 Adults: 65+,
Accomack,970,970,1175,1571.25,970,970,
Albemarle,1858.75,1858.75,2161.25,2693.75,1858.75,1858.75,
Alexandria,2570,2570,2892.5,3616.25,2570,2570,
Alleghany,922.5,922.5,1063.75,1490,922.5,922.5,
Amelia,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Amherst,1327.5,1327.5,1500,2058.75,1327.5,1327.5,
Appomattox,1327.5,1327.5,1500,2058.75,1327.5,1327.5,
Arlington,2570,2570,2892.5,3616.25,2570,2570,
Augusta,1392.5,1392.5,1602.5,2245,1392.5,1392.5,
Bath,877.5,877.5,1083.75,1410,877.5,877.5,
Bedford,1327.5,1327.5,1500,2058.75,1327.5,1327.5,
Bland,861.25,861.25,1063.75,1490,861.25,861.25,
Botetourt,1185,1185,1426.25,1996.25,1185,1185,
Bristol,1030,1030,1303.75,1678.75,1030,1030,
Brunswick,861.25,861.25,1063.75,1490,861.25,861.25,
Buchanan,842.5,842.5,1063.75,1412.5,842.5,842.5,
Buckingham,1042.5,1042.5,1168.75,1475,1042.5,1042.5,
Buena Vista,1015,1015,1123.75,1575,1015,1015,
Campbell,1327.5,1327.5,1500,2058.75,1327.5,1327.5,
Caroline,1132.5,1132.5,1398.75,1960,1132.5,1132.5,
Carroll,882.5,882.5,1063.75,1490,882.5,882.5,
Charles City,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Charlotte,811.25,811.25,1063.75,1348.75,811.25,811.25,
Charlottesville,1858.75,1858.75,2161.25,2693.75,1858.75,1858.75,
Chesapeake,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Chesterfield,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Clarke,2570,2570,2892.5,3616.25,2570,2570,
Colonial Heights,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Covington,922.5,922.5,1063.75,1490,922.5,922.5,
Craig,1185,1185,1426.25,1996.25,1185,1185,
Culpeper,1435,1435,1776.25,2352.5,1435,1435,
Cumberland,923.75,923.75,1141.25,1375,923.75,923.75,
Danville,858.75,858.75,1063.75,1456.25,858.75,858.75,
Dickenson,861.25,861.25,1063.75,1281.25,861.25,861.25,
Dinwiddie,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Emporia,888.75,888.75,1166.25,1593.75,888.75,888.75,
Essex,1018.75,1018.75,1257.5,1557.5,1018.75,1018.75,
Fairfax,2570,2570,2892.5,3616.25,2570,2570,
Fairfax,2570,2570,2892.5,3616.25,2570,2570,
Falls Church,2570,2570,2892.5,3616.25,2570,2570,
Fauquier,2570,2570,2892.5,3616.25,2570,2570,
Floyd,868.75,868.75,1140,1436.25,868.75,868.75,
Fluvanna,1858.75,1858.75,2161.25,2693.75,1858.75,1858.75,
Franklin,975,975,1088.75,1525,975,975,
Franklin,1112.5,1112.5,1458.75,1865,1112.5,1112.5,
Frederick,1566.25,1566.25,1961.25,2440,1566.25,1566.25,
Fredericksburg,2570,2570,2892.5,3616.25,2570,2570,
Galax,882.5,882.5,1063.75,1490,882.5,882.5,
Giles,1068.75,1068.75,1183.75,1475,1068.75,1068.75,
Gloucester,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Goochland,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Grayson,961.25,961.25,1063.75,1440,961.25,961.25,
Greene,1858.75,1858.75,2161.25,2693.75,1858.75,1858.75,
Greensville,888.75,888.75,1166.25,1593.75,888.75,888.75,
Halifax,943.75,943.75,1063.75,1352.5,943.75,943.75,
Hampton,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Hanover,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Harrisonburg,1360,1360,1740,2353.75,1360,1360,
Henrico,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Henry,850,850,1063.75,1281.25,850,850,
Highland,861.25,861.25,1063.75,1385,861.25,861.25,
Hopewell,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Isle Of Wight,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
James City,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
King George,1348.75,1348.75,1671.25,2341.25,1348.75,1348.75,
King William,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
King and Queen,1496.25,1496.25,1656.25,2056.25,1496.25,1496.25,
Lancaster,1042.5,1042.5,1287.5,1700,1042.5,1042.5,
Lee,872.5,872.5,1063.75,1383.75,872.5,872.5,
Lexington,1015,1015,1123.75,1575,1015,1015,
Loudoun,2570,2570,2892.5,3616.25,2570,2570,
Louisa,1258.75,1258.75,1393.75,1933.75,1258.75,1258.75,
Lunenburg,816.25,816.25,1071.25,1380,816.25,816.25,
Lynchburg,1327.5,1327.5,1500,2058.75,1327.5,1327.5,
Madison,1141.25,1141.25,1370,1701.25,1141.25,1141.25,
Manassas,2570,2570,2892.5,3616.25,2570,2570,
Manassas Park,2570,2570,2892.5,3616.25,2570,2570,
Martinsville,850,850,1063.75,1281.25,850,850,
Mathews,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Mecklenburg,846.25,846.25,1110,1431.25,846.25,846.25,
Middlesex,1206.25,1206.25,1490,1795,1206.25,1206.25,
Montgomery,1210,1210,1538.75,2058.75,1210,1210,
Nelson,1858.75,1858.75,2161.25,2693.75,1858.75,1858.75,
New Kent,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Newport News,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Norfolk,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Northampton,843.75,843.75,1106.25,1536.25,843.75,843.75,
Northumberland,1190,1190,1468.75,1770,1190,1190,
Norton,826.25,826.25,1063.75,1408.75,826.25,826.25,
Nottoway,851.25,851.25,1117.5,1566.25,851.25,851.25,
Orange,1131.25,1131.25,1396.25,1956.25,1131.25,1131.25,
Page,943.75,943.75,1063.75,1343.75,943.75,943.75,
Patrick,876.25,876.25,1063.75,1292.5,876.25,876.25,
Petersburg,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Pittsylvania,858.75,858.75,1063.75,1456.25,858.75,858.75,
Poquoson,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Portsmouth,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Powhatan,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Prince Edward,1040,1040,1240,1493.75,1040,1040,
Prince George,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Prince William,2570,2570,2892.5,3616.25,2570,2570,
Pulaski,1033.75,1033.75,1145,1562.5,1033.75,1033.75,
Radford,1210,1210,1538.75,2058.75,1210,1210,
Rappahannock,1536.25,1536.25,1701.25,2050,1536.25,1536.25,
Richmond,1007.5,1007.5,1320,1672.5,1007.5,1007.5,
Richmond,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Roanoke,1185,1185,1426.25,1996.25,1185,1185,
Roanoke,1185,1185,1426.25,1996.25,1185,1185,
Rockbridge,1015,1015,1123.75,1575,1015,1015,
Rockingham,1360,1360,1740,2353.75,1360,1360,
Russell,845,845,1063.75,1305,845,845,
Salem,1185,1185,1426.25,1996.25,1185,1185,
Scott,1030,1030,1303.75,1678.75,1030,1030,
Shenandoah,1020,1020,1338.75,1775,1020,1020,
Smyth,902.5,902.5,1063.75,1373.75,902.5,902.5,
Southampton,1112.5,1112.5,1458.75,1865,1112.5,1112.5,
Spotsylvania,2570,2570,2892.5,3616.25,2570,2570,
Stafford,2570,2570,2892.5,3616.25,2570,2570,
Staunton,1392.5,1392.5,1602.5,2245,1392.5,1392.5,
Suffolk,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Surry,861.25,861.25,1063.75,1490,861.25,861.25,
Sussex,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Tazewell,818.75,818.75,1063.75,1281.25,818.75,818.75,
Virginia Beach,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Warren,1236.25,1236.25,1622.5,2180,1236.25,1236.25,
Washington,1030,1030,1303.75,1678.75,1030,1030,
Waynesboro,1392.5,1392.5,1602.5,2245,1392.5,1392.5,
Westmoreland,1091.25,1091.25,1347.5,1888.75,1091.25,1091.25,
Williamsburg,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Winchester,1566.25,1566.25,1961.25,2440,1566.25,1566.25,
Wise,826.25,826.25,1063.75,1408.75,826.25,826.25,
Wythe,823.75,823.75,1066.25,1346.25,823.75,823.75,
York,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
