County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+
Accomack,0,595.54,0,1191.08,0,0
Albemarle,0,879.07,0,1758.15,0,0
Alexandria,0,1688.54,0,3377.08,0,0
Alleghany,0,565.97,0,1131.94,0,0
Amelia,0,605.83,0,1211.67,0,0
Amherst,0,563.52,0,1127.04,0,0
Appomattox,0,539.07,0,1078.15,0,0
Arlington,0,2014.99,0,4029.98,0,0
Augusta,0,765.78,0,1531.56,0,0
Bath,0,732.98,0,1465.96,0,0
Bedford,0,651.94,0,1303.88,0,0
Bland,0,575.50,0,1151.00,0,0
Botetourt,0,670.23,0,1340.46,0,0
Bristol,0,490.39,0,980.77,0,0
Brunswick,0,551.39,0,1102.77,0,0
Buchanan,0,495.77,0,991.54,0,0
Buckingham,0,497.18,0,994.35,0,0
Buena Vista,0,678.90,0,1357.79,0,0
Campbell,0,614.83,0,1229.67,0,0
Caroline,0,817.22,0,1634.44,0,0
Carroll,0,481.19,0,962.38,0,0
Charles City,0,700.54,0,1401.08,0,0
Charlotte,0,559.44,0,1118.88,0,0
Charlottesville,0,908.89,0,1817.77,0,0
Chesapeake,0,811.64,0,1623.27,0,0
Chesterfield,0,880.97,0,1761.94,0,0
Clarke,0,824.33,0,1648.67,0,0
Colonial Heights,0,954.45,0,1908.90,0,0
Covington,0,515.97,0,1031.94,0,0
Craig,0,537.96,0,1075.92,0,0
Culpeper,0,844.59,0,1689.19,0,0
Cumberland,0,559.44,0,1118.88,0,0
Danville,0,492.71,0,985.42,0,0
Dickenson,0,481.19,0,962.38,0,0
Dinwiddie,0,699.44,0,1398.88,0,0
Emporia,0,699.25,0,1398.50,0,0
Essex,0,709.47,0,1418.94,0,0
Fairfax,0,1244.69,0,2489.38,0,0
Fairfax,0,1244.69,0,2489.38,0,0
Falls Church,0,1500.98,0,3001.96,0,0
Fauquier,0,843.55,0,1687.10,0,0
Floyd,0,606.27,0,1212.54,0,0
Fluvanna,0,748.63,0,1497.25,0,0
Franklin,0,777.46,0,1554.92,0,0
Franklin,0,716.96,0,1433.92,0,0
Frederick,0,784.59,0,1569.19,0,0
Fredericksburg,0,899.97,0,1799.94,0,0
Galax,0,499.21,0,998.42,0,0
Giles,0,606.27,0,1212.54,0,0
Gloucester,0,811.67,0,1623.33,0,0
Goochland,0,916.34,0,1832.69,0,0
Grayson,0,481.19,0,962.38,0,0
Greene,0,731.41,0,1462.81,0,0
Greensville,0,638.84,0,1277.69,0,0
Halifax,0,501.48,0,1002.96,0,0
Hampton,0,755.50,0,1511.00,0,0
Hanover,0,814.07,0,1628.15,0,0
Harrisonburg,0,761.64,0,1523.27,0,0
Henrico,0,825.63,0,1651.25,0,0
Henry,0,464.63,0,929.25,0,0
Highland,0,792.23,0,1584.46,0,0
Hopewell,0,758.56,0,1517.13,0,0
Isle Of Wight,0,652.70,0,1305.40,0,0
James City,0,790.35,0,1580.71,0,0
King George,0,758.56,0,1517.13,0,0
King William,0,764.70,0,1529.40,0,0
King and Queen,0,669.26,0,1338.52,0,0
Lancaster,0,758.56,0,1517.13,0,0
Lee,0,485.76,0,971.52,0,0
Lexington,0,749.49,0,1498.98,0,0
Loudoun,0,1359.38,0,2718.75,0,0
Louisa,0,792.23,0,1584.46,0,0
Lunenburg,0,501.48,0,1002.96,0,0
Lynchburg,0,624.14,0,1248.27,0,0
Madison,0,955.75,0,1911.50,0,0
Manassas,0,1066.22,0,2132.44,0,0
Manassas Park,0,1464.83,0,2929.67,0,0
Martinsville,0,464.63,0,929.25,0,0
Mathews,0,629.82,0,1259.65,0,0
Mecklenburg,0,580.38,0,1160.75,0,0
Middlesex,0,758.56,0,1517.13,0,0
Montgomery,0,708.40,0,1416.79,0,0
Nelson,0,799.20,0,1598.40,0,0
New Kent,0,667.01,0,1334.02,0,0
Newport News,0,783.63,0,1567.25,0,0
Norfolk,0,823.21,0,1646.42,0,0
Northampton,0,681.25,0,1362.50,0,0
Northumberland,0,758.56,0,1517.13,0,0
Norton,0,505.21,0,1010.42,0,0
Nottoway,0,497.18,0,994.35,0,0
Orange,0,837.42,0,1674.83,0,0
Page,0,792.23,0,1584.46,0,0
Patrick,0,558.72,0,1117.44,0,0
Petersburg,0,737.59,0,1475.19,0,0
Pittsylvania,0,514.90,0,1029.79,0,0
Poquoson,0,882.02,0,1764.04,0,0
Portsmouth,0,784.52,0,1569.04,0,0
Powhatan,0,736.72,0,1473.44,0,0
Prince Edward,0,567.67,0,1135.33,0,0
Prince George,0,699.44,0,1398.88,0,0
Prince William,0,1068.86,0,2137.73,0,0
Pulaski,0,641.47,0,1282.94,0,0
Radford,0,509.97,0,1019.94,0,0
Rappahannock,0,949.79,0,1899.58,0,0
Richmond,0,699.44,0,1398.88,0,0
Richmond,0,855.21,0,1710.42,0,0
Roanoke,0,861.96,0,1723.92,0,0
Roanoke,0,781.49,0,1562.98,0,0
Rockbridge,0,749.49,0,1498.98,0,0
Rockingham,0,788.25,0,1576.50,0,0
Russell,0,481.19,0,962.38,0,0
Salem,0,795.95,0,1591.90,0,0
Scott,0,481.19,0,962.38,0,0
Shenandoah,0,614.84,0,1229.69,0,0
Smyth,0,530.51,0,1061.02,0,0
Southampton,0,643.70,0,1287.40,0,0
Spotsylvania,0,823.15,0,1646.29,0,0
Stafford,0,903.17,0,1806.33,0,0
Staunton,0,825.40,0,1650.79,0,0
Suffolk,0,748.49,0,1496.98,0,0
Surry,0,758.56,0,1517.13,0,0
Sussex,0,699.44,0,1398.88,0,0
Tazewell,0,460.16,0,920.31,0,0
Virginia Beach,0,830.60,0,1661.21,0,0
Warren,0,715.58,0,1431.17,0,0
Washington,0,559.99,0,1119.98,0,0
Waynesboro,0,771.98,0,1543.96,0,0
Westmoreland,0,758.56,0,1517.13,0,0
Williamsburg,0,762.92,0,1525.83,0,0
Winchester,0,783.14,0,1566.27,0,0
Wise,0,505.21,0,1010.42,0,0
Wythe,0,538.29,0,1076.58,0,0
York,0,797.97,0,1595.94,0,0
